epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,92.6601,0.78088,0.59916,0.8271,0.95938,0.75,0.74584,0.38105,1.85253,0.79638,1.0837,0.0004457,0.0004457,0.0004457
159,93.2121,0.81993,0.64157,0.81806,0.96319,0.75,0.74584,0.38942,1.92415,0.77354,1.08712,0.0004358,0.0004358,0.0004358
160,93.7697,0.87988,0.60589,0.80833,0.9659,0.75,0.74585,0.39767,1.93115,0.79472,1.08939,0.0004259,0.0004259,0.0004259
161,94.2738,0.79179,0.63705,0.79662,0.9659,0.75,0.74585,0.39767,1.93115,0.79472,1.08939,0.000416,0.000416,0.000416
162,94.8591,0.72827,0.59747,0.76943,0.96778,0.75,0.74586,0.39769,1.96102,0.75686,1.09289,0.0004061,0.0004061,0.0004061
163,95.3989,0.78776,0.55242,0.80464,0.96786,0.75,0.74587,0.39769,1.89051,0.72892,1.09947,0.0003962,0.0003962,0.0003962
164,95.9684,0.76074,0.57772,0.81854,0.96749,0.75,0.74584,0.39767,1.81112,0.68738,1.09467,0.0003863,0.0003863,0.0003863
165,96.4822,0.78465,0.60874,0.79,0.96749,0.75,0.74584,0.39767,1.81112,0.68738,1.09467,0.0003764,0.0003764,0.0003764
166,97.0611,0.75888,0.58714,0.80184,0.96427,0.75,0.74585,0.4307,1.7808,0.69391,1.09378,0.0003665,0.0003665,0.0003665
167,97.6148,0.82659,0.59725,0.79286,0.95975,0.75,0.74584,0.4307,1.77461,0.71938,1.09443,0.0003566,0.0003566,0.0003566
168,98.1837,0.7707,0.58872,0.78939,0.95363,0.75,0.74583,0.43069,1.81298,0.70918,1.0895,0.0003467,0.0003467,0.0003467
169,98.8248,0.69029,0.6175,0.76107,0.95363,0.75,0.74583,0.43069,1.81298,0.70918,1.0895,0.0003368,0.0003368,0.0003368
170,99.3896,0.80144,0.58718,0.8301,0.95137,0.75,0.74584,0.4307,1.82734,0.72293,1.08241,0.0003269,0.0003269,0.0003269
171,99.9393,0.75998,0.56581,0.80283,0.948,0.75,0.74586,0.39768,1.81708,0.73391,1.07614,0.000317,0.000317,0.000317
172,100.515,0.77719,0.57601,0.80925,0.94748,0.75,0.74586,0.39768,1.81615,0.72056,1.07849,0.0003071,0.0003071,0.0003071
173,101.059,0.70405,0.61461,0.76619,0.94748,0.75,0.74586,0.39768,1.81615,0.72056,1.07849,0.0002972,0.0002972,0.0002972
174,101.618,0.84575,0.58854,0.78946,0.94656,0.75,0.74586,0.35621,1.84787,0.7263,1.0841,0.0002873,0.0002873,0.0002873
175,102.161,0.7076,0.5602,0.79581,0.94869,0.75,0.74586,0.35621,1.84245,0.70846,1.08413,0.0002774,0.0002774,0.0002774
176,102.728,0.61008,0.55913,0.79093,0.95413,0.75,0.74586,0.39768,1.80782,0.69324,1.08294,0.0002675,0.0002675,0.0002675
177,103.271,0.738,0.56363,0.79941,0.95413,0.75,0.74586,0.39768,1.80782,0.69324,1.08294,0.0002576,0.0002576,0.0002576
178,103.823,0.65775,0.50852,0.8065,0.95999,0.75,0.74586,0.39768,1.78267,0.6896,1.07645,0.0002477,0.0002477,0.0002477
179,104.387,0.68922,0.52618,0.80606,0.96403,0.75,0.74584,0.39766,1.72987,0.72734,1.0666,0.0002378,0.0002378,0.0002378
